Latitude,Longitude,Test Elevation (ft),SPTN
47.58625225,-122.378716,19.4,9.0
47.58625225,-122.378716,14.4,18.0
47.58625225,-122.378716,9.4,12.0
47.58625225,-122.378716,4.399999999999999,8.0
47.58776873,-122.3843141,229.1,3.0
47.58776873,-122.3843141,224.1,24.0
47.58776873,-122.3843141,219.1,29.0
47.58776873,-122.3843141,214.1,34.0
47.58776873,-122.3843141,209.1,29.0
47.58776873,-122.3843141,204.1,36.0
47.5879992,-122.3841358,240.1,2.0
47.5879992,-122.3841358,235.1,20.0
47.5879992,-122.3841358,230.1,24.0
47.5879992,-122.3841358,225.1,35.0
47.5879992,-122.3841358,220.1,52.0
47.5879992,-122.3841358,215.1,99.0
47.58765103,-122.3841316,210.4,5.0
47.58765103,-122.3841316,205.4,6.0
47.58765103,-122.3841316,202.9,11.0
47.58765103,-122.3841316,200.4,24.0
47.58786806,-122.3839366,197.3,4.0
47.58786806,-122.3839366,192.3,10.0
47.58786806,-122.3839366,187.3,11.0
47.58786806,-122.3839366,182.3,8.0
47.52462526,-122.3930252,40.2,14.0
47.52462526,-122.3930252,35.2,25.0
47.52462526,-122.3930252,30.200000000000003,35.0
47.52462526,-122.3930252,25.200000000000003,53.0
47.52462526,-122.3930252,20.200000000000003,25.0
47.52462526,-122.3930252,15.200000000000005,30.0
47.52457501,-122.3930801,33.0,4.0
47.52457501,-122.3930801,23.0,36.0
47.52460925,-122.3931663,24.4,25.0
47.52460925,-122.3931663,19.4,54.0
47.53915516,-122.3954232,129.9,9.0
47.53915516,-122.3954232,124.9,54.0
47.53915516,-122.3954232,119.9,100.0
47.53915516,-122.3954232,114.9,63.0
47.53915516,-122.3954232,109.9,30.0
47.53915516,-122.3954232,104.9,120.0
47.53915516,-122.3954232,99.9,95.0
47.53915516,-122.3954232,94.9,95.0
47.53915516,-122.3954232,89.9,76.0
47.53915516,-122.3954232,84.9,104.0
47.58414347,-122.3807654,135.7,7.0
47.58414347,-122.3807654,133.2,7.0
47.58414347,-122.3807654,128.2,5.0
47.58414347,-122.3807654,123.2,29.0
47.58414347,-122.3807654,118.2,33.0
47.58414347,-122.3807654,113.2,36.0
47.58425551,-122.3806194,132.9,4.0
47.58425551,-122.3806194,127.9,6.0
47.58425551,-122.3806194,122.9,14.0
47.58425551,-122.3806194,117.9,17.0
47.58425551,-122.3806194,112.9,34.0
47.58425551,-122.3806194,107.9,34.0
47.54185383,-122.396576,25.3,9.0
47.54185383,-122.396576,22.8,9.0
47.54185383,-122.396576,20.3,9.0
47.54185383,-122.396576,17.8,55.0
47.54185383,-122.396576,15.3,55.0
47.54185383,-122.396576,12.8,56.0
47.54185439,-122.3967096,11.6,26.0
47.54190152,-122.397015,12.6,48.0
47.54190152,-122.397015,10.1,56.0
47.54190152,-122.397015,7.6,50.0
47.54170186,-122.3969837,12.3,31.0
47.54170186,-122.3969837,9.8,40.0
47.54407541,-122.3982303,11.899999952,49.0
47.54413471,-122.397957,16.4,16.0
47.54413471,-122.397957,13.9,70.0
47.54383489,-122.397509,26.6,5.0
47.54383489,-122.397509,24.1,7.0
47.54383489,-122.397509,21.6,7.0
47.54383489,-122.397509,19.1,12.0
47.54383489,-122.397509,16.6,44.0
47.54383489,-122.397509,14.1,39.0
47.5560568,-122.399507,35.5,6.0
47.5560568,-122.399507,33.0,6.0
47.5560568,-122.399507,30.5,5.0
47.5560568,-122.399507,28.0,12.0
47.5560568,-122.399507,25.5,50.0
47.5560568,-122.399507,20.5,50.0
47.55614505,-122.3993076,57.3,5.0
47.55614505,-122.3993076,54.8,6.0
47.55614505,-122.3993076,52.3,6.0
47.55614505,-122.3993076,49.8,5.0
47.55614505,-122.3993076,47.3,33.0
47.55614505,-122.3993076,44.8,24.0
47.55636568,-122.3995666,43.7,5.0
47.55636568,-122.3995666,38.7,6.0
47.55636568,-122.3995666,33.7,3.0
47.55636568,-122.3995666,28.700000000000003,6.0
47.55636568,-122.3995666,23.700000000000003,62.0
47.55636568,-122.3995666,18.700000000000003,66.0
47.55640362,-122.3994261,46.7,7.0
47.55640362,-122.3994261,41.7,4.0
47.55640362,-122.3994261,36.7,2.0
47.55640362,-122.3994261,31.700000000000003,44.0
47.55640362,-122.3994261,26.700000000000003,69.0
47.56639877,-122.409311,6.699999999999999,65.0
47.55745858,-122.4008166,19.4,15.0
47.55745858,-122.4008166,16.9,17.0
47.55745858,-122.4008166,11.9,24.0
47.55745858,-122.4008166,6.899999999999999,24.0
47.55745858,-122.4008166,1.8999999999999984,26.0
47.55730142,-122.4000292,36.2,8.0
47.55730142,-122.4000292,33.7,4.0
47.55730142,-122.4000292,28.700000000000003,6.0
47.55730142,-122.4000292,23.700000000000003,45.0
47.55730142,-122.4000292,21.200000000000003,42.0
47.55753634,-122.4002523,29.3,2.0
47.55753634,-122.4002523,24.3,26.0
47.55753634,-122.4002523,21.8,28.0
47.55451206,-122.3980505,71.1,16.0
47.55451206,-122.3980505,68.6,18.0
47.55451206,-122.3980505,66.1,25.0
47.55451206,-122.3980505,61.099999999999994,26.0
47.55451206,-122.3980505,56.099999999999994,49.0
47.54113707,-122.3865116,230.6,18.0
47.54113707,-122.3865116,225.6,44.0
47.54113707,-122.3865116,220.6,80.0
47.54113707,-122.3865116,215.6,52.0
47.54113707,-122.3865116,210.6,74.0
47.54113707,-122.3865116,200.6,94.0
47.54084409,-122.3864851,245.1,7.0
47.54084409,-122.3864851,240.1,12.0
47.54084409,-122.3864851,235.1,17.0
47.54084409,-122.3864851,230.1,26.0
47.54084409,-122.3864851,225.1,63.0
47.5413089,-122.3870765,218.0,11.0
47.5413089,-122.3870765,213.0,43.0
47.5413089,-122.3870765,208.0,44.0
47.54091086,-122.387103,217.4,16.0
47.54091086,-122.387103,212.4,19.0
47.54091086,-122.387103,207.4,24.0
47.5463764,-122.3865631,231.1,15.0
47.5463764,-122.3865631,226.1,11.0
47.5463764,-122.3865631,221.1,13.0
47.5463764,-122.3865631,216.1,5.0
47.5463764,-122.3865631,211.1,38.0
47.54638805,-122.3868591,231.9,30.0
47.54638805,-122.3868591,226.9,17.0
47.54638805,-122.3868591,221.9,13.0
47.54638805,-122.3868591,216.9,12.0
47.54638805,-122.3868591,211.9,20.0
47.54638805,-122.3868591,206.9,59.0
47.54605856,-122.3865478,225.9,13.0
47.54605856,-122.3865478,220.9,11.0
47.54605856,-122.3865478,215.9,16.0
47.54605856,-122.3865478,210.9,8.0
47.54605856,-122.3865478,205.9,45.0
47.54605856,-122.3865478,200.9,25.0
47.54605856,-122.3865478,195.9,90.0
47.54604255,-122.3868591,229.9,13.0
47.54604255,-122.3868591,224.9,3.0
47.54604255,-122.3868591,219.9,4.0
47.54604255,-122.3868591,214.9,5.0
47.54604255,-122.3868591,209.9,14.0
47.54604255,-122.3868591,204.9,55.0
47.54604255,-122.3868591,199.9,96.0
47.55738263,-122.3874422,302.1,15.0
47.55738263,-122.3874422,297.1,25.0
47.55738263,-122.3874422,292.1,47.0
47.55738263,-122.3874422,287.1,58.0
47.55714077,-122.3871379,306.1,11.0
47.55714077,-122.3871379,301.1,37.0
47.55714077,-122.3871379,296.1,52.0
47.55714077,-122.3871379,291.1,66.0
47.55943606,-122.3874662,307.4,5.0
47.55943606,-122.3874662,304.9,8.0
47.55943606,-122.3874662,302.4,27.0
47.55943606,-122.3874662,299.9,31.0
47.55943606,-122.3874662,297.4,44.0
47.55943606,-122.3874662,292.4,51.0
47.5594745,-122.3874635,307.6,22.0
47.5594745,-122.3874635,305.1,25.0
47.5594745,-122.3874635,302.6,65.0
47.5594745,-122.3874635,297.6,52.0
47.55962643,-122.3879023,306.4,34.0
47.55962643,-122.3879023,303.9,75.0
47.55962643,-122.3879023,301.4,61.0
47.55962643,-122.3879023,296.4,66.0
47.55956066,-122.3879,306.6,12.0
47.55956066,-122.3879,304.1,23.0
47.55956066,-122.3879,299.1,86.0
47.5582968,-122.3873773,305.8,20.0
47.5582968,-122.3873773,300.8,9.0
47.5582968,-122.3873773,295.8,32.0
47.5582968,-122.3873773,290.8,55.0
47.5582968,-122.3873773,285.8,56.0
47.5582968,-122.3873773,280.8,39.0
47.5587028,-122.3871972,307.9,10.0
47.5587028,-122.3871972,302.9,49.0
47.5587028,-122.3871972,297.9,59.0
47.5587028,-122.3871972,292.9,80.0
47.57053531,-122.3863231,382.8,28.0
47.57053531,-122.3863231,380.3,35.0
47.57053531,-122.3863231,377.8,50.0
47.57053531,-122.3863231,372.8,42.0
47.57053531,-122.3863231,367.8,65.0
47.57053531,-122.3863231,365.3,78.0
47.57037191,-122.3864226,382.8,11.0
47.57037191,-122.3864226,380.3,8.0
47.57037191,-122.3864226,377.8,9.0
47.57037191,-122.3864226,372.8,25.0
47.57037191,-122.3864226,367.8,31.0
47.57046783,-122.386426,382.9,22.0
47.57046783,-122.386426,380.4,29.0
47.57046783,-122.386426,377.9,35.0
47.57046783,-122.386426,372.9,23.0
47.57046783,-122.386426,367.9,44.0
47.57040825,-122.3865495,383.2,15.0
47.57040825,-122.3865495,380.7,18.0
47.57040825,-122.3865495,378.2,21.0
47.57040825,-122.3865495,373.2,34.0
47.5706042,-122.3864714,381.1,24.0
47.5706042,-122.3864714,378.6,34.0
47.5706042,-122.3864714,376.1,27.0
47.5706042,-122.3864714,371.1,8.0
47.5706042,-122.3864714,366.1,54.0
47.55545237,-122.3876008,299.0,13.0
47.55545237,-122.3876008,294.0,29.0
47.55545237,-122.3876008,289.0,55.0
47.55545237,-122.3876008,284.0,53.0
47.5559381,-122.3875774,296.7,15.0
47.5559381,-122.3875774,291.7,44.0
47.5559381,-122.3875774,286.7,43.0
47.5559381,-122.3875774,281.7,57.0
47.56060521,-122.4015688,67.4,2.0
47.56060521,-122.4015688,62.400000000000006,8.0
47.56060521,-122.4015688,57.400000000000006,6.0
47.56060521,-122.4015688,52.400000000000006,21.0
47.56060521,-122.4015688,47.400000000000006,29.0
47.56060521,-122.4015688,42.400000000000006,63.0
47.56030411,-122.4017039,28.2,12.0
47.56030411,-122.4017039,23.2,11.0
47.56030411,-122.4017039,18.2,23.0
47.56082234,-122.4000249,186.6,50.0
47.56082234,-122.4000249,184.1,50.0
47.56082234,-122.4000249,181.6,50.0
47.56082234,-122.4000249,179.1,50.0
47.56082234,-122.4000249,174.1,50.0
47.56082234,-122.4000249,168.1,69.0
47.56082234,-122.4000249,164.1,50.0
47.56082234,-122.4000249,161.6,50.0
47.56082234,-122.4000249,159.1,50.0
47.56082234,-122.4000249,156.6,56.0
47.56082234,-122.4000249,153.1,67.0
47.56082234,-122.4000249,151.6,50.0
47.56082234,-122.4000249,149.1,50.0
47.56082234,-122.4000249,146.6,78.0
47.56082234,-122.4000249,143.1,50.0
47.56082234,-122.4000249,141.6,50.0
47.56082234,-122.4000249,139.1,50.0
47.56082234,-122.4000249,136.1,50.0
47.56082234,-122.4000249,134.1,50.0
47.56082234,-122.4000249,131.6,50.0
47.56082234,-122.4000249,129.1,50.0
47.56082234,-122.4000249,126.1,50.0
47.56082234,-122.4000249,124.1,50.0
47.56082234,-122.4000249,121.6,50.0
47.56082234,-122.4000249,119.1,50.0
47.56082234,-122.4000249,116.6,50.0
47.56082234,-122.4000249,114.1,50.0
47.56082234,-122.4000249,111.6,50.0
47.56082234,-122.4000249,109.1,50.0
47.56082234,-122.4000249,104.1,50.0
47.56082234,-122.4000249,99.1,50.0
47.58891659,-122.3831913,224.9,14.0
47.58891659,-122.3831913,222.9,22.0
47.58891659,-122.3831913,219.9,30.0
47.58891659,-122.3831913,217.9,26.0
47.58891659,-122.3831913,212.9,38.0
47.58891659,-122.3831913,207.9,43.0
47.58891659,-122.3831913,202.9,48.0
47.58891659,-122.3831913,197.9,55.0
47.58899606,-122.3833644,232.2,15.0
47.58899606,-122.3833644,228.7,3.0
47.58899606,-122.3833644,226.2,5.0
47.58899606,-122.3833644,224.7,5.0
47.58899606,-122.3833644,222.7,6.0
47.58899606,-122.3833644,218.7,5.0
47.58899606,-122.3833644,217.2,20.0
47.58899606,-122.3833644,214.7,36.0
47.58899606,-122.3833644,209.7,72.0
47.58899606,-122.3833644,204.7,69.0
47.58909885,-122.3827722,185.6,15.0
47.58909885,-122.3827722,183.1,19.0
47.58909885,-122.3827722,180.6,23.0
47.58909885,-122.3827722,178.1,33.0
47.58909885,-122.3827722,175.6,48.0
47.58909885,-122.3827722,173.1,39.0
47.58909885,-122.3827722,168.1,32.0
47.58909885,-122.3827722,163.1,36.0
47.58903452,-122.3826807,167.1,3.0
47.58903452,-122.3826807,164.6,6.0
47.58903452,-122.3826807,162.1,15.0
47.58903452,-122.3826807,159.6,16.0
47.58903452,-122.3826807,157.1,23.0
47.58903452,-122.3826807,154.6,31.0
47.58903452,-122.3826807,152.1,31.0
47.58903452,-122.3826807,149.6,41.0
47.58903452,-122.3826807,147.1,32.0
47.58896887,-122.3828405,184.3,2.0
47.58896887,-122.3828405,181.8,7.0
47.58896887,-122.3828405,179.3,16.0
47.58896887,-122.3828405,176.8,19.0
47.58896887,-122.3828405,174.3,34.0
47.58896887,-122.3828405,171.8,36.0
47.58896887,-122.3828405,166.8,45.0
