Latitude,Longitude,Midpoint Elevation (ft),Lithology
47.58678723,-122.3785281,-3.25,Sandy clay
47.58678723,-122.3785281,-8.75,Clayey silt
47.58755319,-122.3793211,10.05,Gravelly silt
47.58755319,-122.3793211,1.5500000000000007,Sand
47.58738583,-122.3791572,13.95,Sand
47.58738583,-122.3791572,5.199999999999999,Sand
47.58745492,-122.3794636,22.6,Silty clay
47.58745492,-122.3794636,15.600000000000001,Silty sand
47.58745492,-122.3794636,11.1,Silty clay
47.58742862,-122.379564,37.6,Gravelly sand
47.58742862,-122.379564,30.1,Silty clay
47.58742862,-122.379564,22.35,Silty clay
47.58368212,-122.3990719,85.85,Fill
47.57043942,-122.4115584,4.55,Gravelly sand
47.57043942,-122.4115584,-6.699999999999999,Gravelly sand
47.57042458,-122.4109582,6.65,Gravelly sand
47.57042458,-122.4109582,-2.0999999999999996,Gravelly sand
47.57071135,-122.411864,-6.94999981,Gravelly sand
47.57071135,-122.411864,-20.19999981,Sandy silt
47.57071135,-122.411864,-24.89999962,Gravelly sand
47.57071135,-122.411864,-29.64999962,Sandy silt
47.57070885,-122.4115154,0.34999999999999964,Sand
47.57070885,-122.4115154,-12.649999999999999,Clayey silt
47.52781975,-122.3871182,327.3,Fill
47.52781975,-122.3871182,323.3,Sand
47.52775679,-122.3871119,314.8,Fill
47.52775679,-122.3871119,310.8,Sand
47.52780978,-122.3870571,325.8,Fill
47.52780978,-122.3870571,321.55,Sand
47.52780978,-122.3870571,318.8,Sand
47.56565221,-122.4066751,58.5,Sand
47.56565221,-122.4066751,46.5,Sandy silt
47.59327118,-122.3838558,23.550000024,Sand
47.59327118,-122.3838558,18.300000024,Sand
47.59327118,-122.3838558,13.45,Sandy silt
47.59327118,-122.3838558,7.199999999999999,Sand
47.59327118,-122.3838558,-2.8000000000000007,Gravelly sand
47.59327118,-122.3838558,-12.3,Silty gravel
47.59327118,-122.3838558,-23.799999999999997,Silty clay
47.59343156,-122.3839425,21.65,Silty sand
47.59343156,-122.3839425,16.4,Sand
47.59343156,-122.3839425,10.00000038,Sand
47.59343156,-122.3839425,1.3999999999999986,Gravelly sand
47.59343156,-122.3839425,-9.350000000000001,Clay
47.59338786,-122.3835924,12.95,Silty sand
47.59338786,-122.3835924,7.699999999999999,Sand
47.59338786,-122.3835924,-2.0500000000000007,Silty sand
47.59338786,-122.3835924,-16.05,Sandy gravel
47.59338786,-122.3835924,-26.799999999999997,Silty clay
47.59350257,-122.3836208,13.25,Sand
47.59350257,-122.3836208,5.25,Sand
47.59350257,-122.3836208,-2.25,Silty sand
47.59350257,-122.3836208,-7.0,Sand
47.59350257,-122.3836208,-12.0,Sandy gravel
47.59350257,-122.3836208,-17.5,Sandy gravel
47.59350257,-122.3836208,-24.0,Silty clay
47.59372213,-122.3837785,10.099999904499999,Silty sand
47.59372213,-122.3837785,5.5999999045,Sand
47.59372213,-122.3837785,-3.75,Sand
47.59372213,-122.3837785,-12.5,Sand
47.59372213,-122.3837785,-17.5,Sand
47.59372213,-122.3837785,-22.5,Silty sand
47.59372213,-122.3837785,-26.0,Gravelly sand
47.59372213,-122.3837785,-31.5,Clay
47.59358868,-122.3838913,17.7,Sand
47.59358868,-122.3838913,13.7,Debris
47.59358868,-122.3838913,10.2,Silty sand
47.59358868,-122.3838913,2.9499999999999993,Sand
47.59358868,-122.3838913,-7.050000000000001,Clay
47.59358868,-122.3838913,-16.05,Clay
47.55892068,-122.3811852,277.9,Sand
47.55892068,-122.3811852,269.4,Sand
47.55874445,-122.3808914,301.8,Silty sand
47.55874445,-122.3808914,290.8,Sand
47.55874445,-122.3808914,274.8,Sand
47.55908825,-122.3811668,275.45,Clay
47.55908825,-122.3811668,265.45,Silty clay
47.55908825,-122.3811668,256.2,Silt
47.53560521,-122.388774,311.1,Fill
47.53560521,-122.388774,301.6,Silty sand
47.53560521,-122.388774,286.1,Silty sand
47.53560521,-122.388774,275.1,Clayey silt
47.53560521,-122.388774,265.6,Silt
47.53574589,-122.3887223,304.2,Sand
47.53574589,-122.3887223,295.7,Silt
47.53574589,-122.3887223,285.2,Silty sand
47.53574589,-122.3887223,264.95,Clayey silt
47.53566118,-122.3888732,297.95,Fill
47.53566118,-122.3888732,288.95,Silty sand
47.53565797,-122.3890715,269.9,Sand
47.56144723,-122.3782278,255.05,Fill
47.56144723,-122.3782278,252.05,Silt
47.56150635,-122.378473,251.65,Gravelly silt
47.5616745,-122.378248,250.65,Fill
47.5616745,-122.378248,246.15,Fill
47.5616745,-122.378248,243.15,Silt
47.56171228,-122.3786261,250.1,Fill
47.56171228,-122.3786261,247.1,Silt
47.56194653,-122.378213,249.05,Fill
47.56194653,-122.378213,242.05,Silt
47.56194653,-122.378213,237.8,Sandy silt
47.56190973,-122.3786249,249.1,Fill
47.56190973,-122.3786249,242.85,Silt
47.56190973,-122.3786249,239.85,Silty sand
47.54811636,-122.3969402,116.4,Silty sand
47.54811636,-122.3969402,101.9,Clay
47.58744185,-122.3806142,134.0,Fill
47.58744185,-122.3806142,122.75,Sand
47.58744185,-122.3806142,107.5,Clayey silt
47.58750593,-122.3803814,120.1,Sand
47.58750593,-122.3803814,104.85,Clayey silt
47.58768956,-122.380579,123.85,Silty sand
47.58768956,-122.380579,118.35,Fill
47.58768956,-122.380579,103.1,Sandy silt
47.58786511,-122.3808926,128.0,Silty sand
47.58786511,-122.3808926,120.5,Clayey silt
47.58786511,-122.3808926,115.5,Sand
47.58786511,-122.3808926,103.5,Clayey silt
47.5879397,-122.3808587,122.85,Silt
47.5879397,-122.3808587,120.1,Sandy silt
47.5879397,-122.3808587,116.6,Clayey silt
47.5879397,-122.3808587,111.1,Sandy silt
47.58794577,-122.380482,87.45,Silty sand
47.58794577,-122.380482,79.7,Clayey silt
47.58794577,-122.380482,72.7,Silty sand
47.53739591,-122.3899509,200.3,Fill
47.53739591,-122.3899509,194.8,Sandy silt
47.53739591,-122.3899509,190.3,Sandy silt
47.53739591,-122.3899509,185.3,Silt
47.53739591,-122.3899509,180.3,Silt
47.53739591,-122.3899509,175.3,Clayey silt
47.53739591,-122.3899509,170.3,Silt
47.53739591,-122.3899509,161.05,Silt
47.53647357,-122.388829,281.75,Fill
47.53647357,-122.388829,276.0,Fill
47.53647357,-122.388829,269.5,Sand
47.53647357,-122.388829,263.25,Sandy silt
47.53647357,-122.388829,253.0,Silt
47.53590955,-122.3892829,257.5,Silty sand
47.53590955,-122.3892829,251.25,Sand
47.53590955,-122.3892829,244.75,Silty sand
47.53590955,-122.3892829,230.5,Silt
47.53690637,-122.3895327,229.3,Fill
47.53690637,-122.3895327,220.8,Silt
47.53690637,-122.3895327,206.55,Silt
47.53690637,-122.3895327,189.55,Silt
47.53703788,-122.3898775,206.8,Fill
47.53703788,-122.3898775,200.8,Silt
47.53703788,-122.3898775,194.8,Silt
47.53703788,-122.3898775,192.05,Silt
47.53703788,-122.3898775,181.3,Silt
47.53703788,-122.3898775,168.8,Silty sand
47.53703788,-122.3898775,165.05,Clayey silt
47.53643482,-122.3880057,325.3,Sand
47.53643482,-122.3880057,314.3,Sand
47.53643482,-122.3880057,303.55,Silty sand
47.53643482,-122.3880057,289.8,Sand
47.5374917,-122.38861,258.75,Silty sand
47.5374917,-122.38861,252.5,Sandy silt
47.5374917,-122.38861,237.75,Silt
47.53698815,-122.3887177,273.65,Silty sand
47.53698815,-122.3887177,264.4,Silty sand
47.53698815,-122.3887177,256.15,Silty sand
47.53698815,-122.3887177,250.65,Sandy silt
47.53698815,-122.3887177,244.4,Silt
47.5367554,-122.3886973,277.55,Sandy silt
47.5367554,-122.3886973,265.3,Sandy silt
47.5367554,-122.3886973,253.8,Sandy silt
47.53645968,-122.3886706,284.85,Sand
47.53645968,-122.3886706,271.35,Sandy silt
47.53645968,-122.3886706,259.6,Silt
47.53645968,-122.3886706,246.85,Silty clay
47.53645968,-122.3886706,236.1,Silt
47.53614426,-122.3886757,294.2,Sandy silt
47.53614426,-122.3886757,283.2,Silty sand
47.53614426,-122.3886757,269.7,Silty clay
47.53614426,-122.3886757,264.7,Silty sand
47.53552059,-122.3885807,308.8,Sand
47.53552059,-122.3885807,282.05,Sand
47.53552059,-122.3885807,273.55,Silt
47.53695703,-122.3892835,240.25,Silty sand
47.53695703,-122.3892835,234.0,Clayey silt
47.53695703,-122.3892835,228.0,Silt
47.53695703,-122.3892835,219.25,Silt
47.53695703,-122.3892835,206.5,Clayey silt
47.53695703,-122.3892835,196.0,Silty clay
47.53695703,-122.3892835,189.0,Silt
47.53628906,-122.3892153,243.7,Clayey silt
47.53628906,-122.3892153,234.7,Clayey silt
47.53628906,-122.3892153,221.95,Silt
47.53628906,-122.3892153,203.2,Silt
47.53590862,-122.3895096,237.3,Sandy silt
47.53590862,-122.3895096,228.3,Sand
47.53590862,-122.3895096,216.8,Clayey silt
