Borehole ID,Latitude,Longitude,Elevation (ft),In-situ Test #,Test Elevation (ft),SPTN,Layer #,Layer Top Elevation (ft),Layer Bottom Elevation (ft),Soil Description,Lithology,USCS,Density / Consistency
153065,47.46506036,-122.2339772,21.08,3,8.579999999999998,4.0,3,13.579999999999998,8.079999999999998,"Gray silty fine sand (very loose, wet)",Silty sand,SM,Very loose
153065,47.46506036,-122.2339772,21.08,4,3.5799999999999983,24.0,5,6.079999999999998,2.5799999999999983,"Gray silty fine sand (medium dense, wet)",Silty sand,SM,Medium Dense
153065,47.46506036,-122.2339772,21.08,5,-1.4200000000000017,17.0,7,0.0799999999999983,-4.920000000000002,"Black fine to coarse sand with occasional gravel (medium dense, wet)",Sand,SW,Medium Dense
153065,47.46506036,-122.2339772,21.08,6,-6.420000000000002,17.0,8,-4.920000000000002,-15.920000000000002,"Gray sandy fine to coarse gravel interbedded with gravelly medium to coarse sand (medium dense, wet)",Sandy gravel,incorrect,
153065,47.46506036,-122.2339772,21.08,7,-11.420000000000002,18.0,8,-4.920000000000002,-15.920000000000002,"Gray sandy fine to coarse gravel interbedded with gravelly medium to coarse sand (medium dense, wet)",Sandy gravel,incorrect,
153065,47.46506036,-122.2339772,21.08,8,-16.42,33.0,9,-15.920000000000002,-22.92,"Dark gray fine to medium sand (medium dense to dense, wet).",Sand,SW,Dense
153065,47.46506036,-122.2339772,21.08,9,-21.42,19.0,9,-15.920000000000002,-22.92,"Dark gray fine to medium sand (medium dense to dense, wet).",Sand,SW,Medium Dense
153068,47.46611096,-122.2346722,21.63,1,18.63,4.0,2,21.13,14.129999999999999,"Mottled grayish brown silt with a trace or fine and and organic matter (soft to medium stiff, moist)",Silt,ML,Soft
153068,47.46611096,-122.2346722,21.63,2,13.629999999999999,6.0,3,14.129999999999999,11.629999999999999,"Grayish brown silty fine sand with a trace of organic matter (loose, moist to wet)",Silty sand,SM,Loose
153068,47.46611096,-122.2346722,21.63,3,8.629999999999999,5.0,4,11.629999999999999,5.629999999999999,"Dark grayish brown very fine sand with silt and a trace or organic matter (loose, wet)",Sand,SW,Loose
153068,47.46611096,-122.2346722,21.63,4,3.629999999999999,10.0,5,5.629999999999999,-8.370000000000001,"Gray silty fine sand to fine sand with silt and organic matter (medium dense, wet). At 23 ft, grades to medium dense with occasional cobbles.",Silty sand,SM,Loose
153068,47.46611096,-122.2346722,21.63,5,-1.370000000000001,25.0,5,5.629999999999999,-8.370000000000001,"Gray silty fine sand to fine sand with silt and organic matter (medium dense, wet). At 23 ft, grades to medium dense with occasional cobbles.",Silty sand,SM,Dense
153068,47.46611096,-122.2346722,21.63,6,-6.370000000000001,19.0,5,5.629999999999999,-8.370000000000001,"Gray silty fine sand to fine sand with silt and organic matter (medium dense, wet). At 23 ft, grades to medium dense with occasional cobbles.",Silty sand,SM,Medium Dense
153068,47.46611096,-122.2346722,21.63,7,-11.370000000000001,26.0,6,-8.370000000000001,-19.37,"Gray fine to coarse sand with gravel to sandy fine gravel (medium dense to dense, wet)",Sand,SW,Dense
153068,47.46611096,-122.2346722,21.63,8,-16.37,48.0,6,-8.370000000000001,-19.37,"Gray fine to coarse sand with gravel to sandy fine gravel (medium dense to dense, wet)",Sand,SW,Dense
153068,47.46611096,-122.2346722,21.63,9,-21.37,34.0,7,-19.37,-32.370000000000005,"Gray fine to medium and with occasional coarse sand and fine gravel (dense, wet)",Sand,SW,Dense
153068,47.46611096,-122.2346722,21.63,10,-26.37,39.0,7,-19.37,-32.370000000000005,"Gray fine to medium and with occasional coarse sand and fine gravel (dense, wet)",Sand,SW,Dense
153068,47.46611096,-122.2346722,21.63,11,-31.37,28.0,7,-19.37,-32.370000000000005,"Gray fine to medium and with occasional coarse sand and fine gravel (dense, wet)",Sand,SW,Dense
153074,47.46573767,-122.2328328,21.9,1,19.4,22.0,1,21.9,5.899999999999999,"Moderate yellow brown, silty medium to fine sand, trace fine gravel, weakly stratified at 7.5 ft.",Silty sand,SM,Medium Dense
153074,47.46573767,-122.2328328,21.9,2,16.9,27.0,1,21.9,5.899999999999999,"Moderate yellow brown, silty medium to fine sand, trace fine gravel, weakly stratified at 7.5 ft.",Silty sand,SM,Dense
153074,47.46573767,-122.2328328,21.9,3,14.399999999999999,22.0,1,21.9,5.899999999999999,"Moderate yellow brown, silty medium to fine sand, trace fine gravel, weakly stratified at 7.5 ft.",Silty sand,SM,Medium Dense
153074,47.46573767,-122.2328328,21.9,4,9.399999999999999,7.0,1,21.9,5.899999999999999,"Moderate yellow brown, silty medium to fine sand, trace fine gravel, weakly stratified at 7.5 ft.",Silty sand,SM,Loose
153074,47.46573767,-122.2328328,21.9,5,4.399999999999999,15.0,2,5.899999999999999,-4.100000000000001,"Compact to dense, olive black, fine sand, little silt.",Sand,SW,Medium Dense
153074,47.46573767,-122.2328328,21.9,6,-0.6000000000000014,40.0,2,5.899999999999999,-4.100000000000001,"Compact to dense, olive black, fine sand, little silt.",Sand,SW,Dense
153074,47.46573767,-122.2328328,21.9,7,-5.600000000000001,28.0,3,-4.100000000000001,-7.100000000000001,"Compact, olive gray to black, fine to coarse, sand and fine to coarse gravel, trace silt.",Sand,SW,Dense
153077,47.7029549,-122.0926249,98.16,1,93.16,11.0,4,94.16,91.16,"Clay, sandy, cohesive, plastic, greenish grey, moist, no odor.",Sandy clay,CL,Stiff
153077,47.7029549,-122.0926249,98.16,2,88.16,7.0,7,88.16,81.16,"Clay, sandy, cohesive, plastic, light brown, wet, no odor",Sandy clay,CL,Medium Stiff
153080,47.70266589,-122.0925298,100.87,1,95.87,14.0,4,96.87,93.87,"Clay, sandy, cohesive, plastic, greenish grey, moist no odor.",Sandy clay,CL,Stiff
153080,47.70266589,-122.0925298,100.87,2,90.87,11.0,5,93.87,81.87,"Clay, sandy, cohesive, plastic, brown, moist to wet at approximately 11 ft, no odor.",Sandy clay,CL,Stiff
153081,47.70287196,-122.0923433,99.42,1,94.42,28.0,2,98.92,92.42,"Sand, fine grained, silty, with small gravel, slightly cohesive, mottled, brown, moist, no odor",Silty sand,SM,Dense
153081,47.70287196,-122.0923433,99.42,2,89.42,23.0,3,92.42,80.42,"Clay, sandy, cohesive, plastic, brown, firm, moist no odor.",Sandy clay,CL,Very stiff
153081,47.70287196,-122.0923433,99.42,3,84.42,37.0,3,92.42,80.42,"Clay, sandy, cohesive, plastic, brown, firm, moist no odor.",Sandy clay,CL,Hard
153081,47.70287196,-122.0923433,99.42,4,79.42,45.0,4,80.42,72.42,"Clay, sandy, cohesive, plastic, bluish grey, wet, no odor.",Sandy clay,CL,Hard
153082,47.70272073,-122.0926166,100.34,1,95.34,27.0,3,97.34,86.34,"Clay, sandy, cohesive, with wood and asphalt debris, brown and grey mottled, moist, slight gasoline odor.",Sandy clay,CL,Very stiff
